Run_ID,Avg_temp,Avg_pH,Min_DO %,Inoculum size (mL),Max_RPM,Total feed of Lactose (mL),Total culture duration (days),Contamination (Y/N),Total media volume (mL),Max FPU/ml,Notes
TRICH_01,28.5,5.103,0.5,50,300,0,5,Y,3000,0.1,Low yeild
TRICH_02,29.3,4.95,0.6,50,250,0,5,Y,3000,0.3,Low yeild
TRICH_03,25,4.477,6.4,100,250,1400,6,N,4400,1.5,Medium Yeild
TRICH_04,25.6,4.68,12.8,100,250,1000,6,N,4000,2,Medium Yeild
TRICH_05,26.1,4.59,45,100,200,1000,6,N,4000,5.6,High Yeild
TRICH_06,25.11,4.501,50,100,250,1000,6,N,4000,4.8,Medium Yeild
TRICH_07,25.12,4.5,40,100,250,500,6,N,3500,4.2,Medium Yeild
TRICH_08,30.01,5.01,35,100,250,1000,6,N,4000,4,Medium Yeild
TRICH_09,25.01,4.503,40,100,250,1500,6,N,4500,5.8,High Yeild
TRICH_10,26.3,4.43,44,100,255,1500,4,N,4500,3.6,Medium Yeild
TRICH_11,26.1,4.62,43,100,250,1500,3,N,4500,2.5,Medium yeild
TRICH_12,25.07,5.21,1.2,100,245,1500,6,Y,4500,0.5,Low yeild
TRICH_13,27.1,6.002,3.2,100,250,1500,6,Y,4500,0.7,Low yeild
TRICH_14,29.4,6.75,1.7,100,250,1500,6,Y,4500,0.2,Low yeild
TRICH_15,31.4,5.89,0.5,100,250,1500,5,Y,4500,0.3,Low yeild
TRICH_15,30.6,6.11,0.8,50,300,1500,6,Y,4500,0.5,Low yeild
TRICH_017,29.461,4.344,16.979,68.175,252.397,680.529,4.281,Y,3771.594,1.177,Low yeild
TRICH_018,23.828,4.687,-0.479,68.472,288.061,1208.892,5.414,N,4493.821,1.59,Low yeild
TRICH_019,28.89,4.492,24.093,94.442,234.629,962.087,5.435,N,3530.811,0.14,High Yeild
TRICH_020,28.49,5.847,36.972,110.764,247.352,1648.834,6.109,N,3931.714,6.354,Medium Yeild
TRICH_021,30.389,4.164,41.723,75.376,273.108,1049.606,5.897,Y,3614.776,1.185,Low yeild
TRICH_022,28.885,5.782,15.337,69.296,237.864,704.192,5.201,Y,4849.213,0.424,Medium Yeild
TRICH_023,25.806,4.311,29.883,55.278,235.67,986.105,5.94,N,4163.733,0.619,Low yeild
TRICH_024,24.876,4.509,17.734,83.944,236.632,713.985,4.738,Y,3464.042,5.084,Medium yeild
TRICH_025,30.251,6.301,27.951,115.148,238.859,1258.561,5.427,N,4408.147,3.088,Medium Yeild
TRICH_026,27.712,5.236,23.808,46.46,243.979,316.267,6.791,Y,4150.183,-1.359,Low yeild
TRICH_027,25.473,5.07,30.233,104.253,267.153,1333.983,4.8,Y,3698.258,3.068,Medium Yeild
TRICH_028,25.669,5.644,17.053,94.759,266.402,1258.806,6.957,Y,4266.274,0.72,Low yeild
TRICH_029,23.934,5.054,14.177,91.185,297.328,562.546,6.43,N,4108.969,4.33,Medium yeild
TRICH_030,24.447,5.474,48.16,70.796,245.118,1182.451,4.678,Y,4430.307,3.852,Low yeild
TRICH_031,24.069,4.306,56.154,72.767,266.675,301.667,6.263,Y,4719.525,-1.963,Medium Yeild
TRICH_032,27.615,4.312,35.419,100.189,282.548,1810.742,5.219,N,3345.075,2.678,Low yeild
TRICH_033,26.47,5.78,-16.697,75.158,257.454,1597.674,5.65,Y,3987.522,4.173,Low yeild
TRICH_034,25.721,5.218,-2.713,54.968,214.637,1330.546,6.41,Y,3313.822,4.203,Low yeild
TRICH_035,29.476,6.185,23.065,114.195,266.278,248.415,6.276,Y,3815.778,6.498,Low yeild
TRICH_036,24.289,5.392,43.832,88.522,262.573,134.586,5.641,N,4331.599,2.378,Medium Yeild
TRICH_037,26.037,4.504,21.473,116.691,230.146,1236.127,7.014,Y,4041.061,5.859,Medium Yeild
TRICH_038,25.617,5.289,56.668,81.736,256.109,1722.413,5.012,N,3502.211,3.386,Low yeild
TRICH_039,23.806,4.571,33.372,69.673,281.832,1123.14,6.518,Y,4672.224,4.513,High Yeild
TRICH_040,25.983,5.195,12.482,80.761,207.788,1604.623,6.057,N,4364.696,0.568,Low yeild
